ticker,date,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_depr_exp,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,div_per_shr,company,is_tot_cash_pfd_dvd,is_discontinued_operations
BRDCY,2025-12-31,annual,2025,2025,USD,29234383200.0,29234383200.0,17970407400.0,17970407400.0,11263975800.0,8747811600.0,8045914800.0,,701896800.0,2516164200.0,175401600.0,170636400.0,290525400.0,119889000.0,4765200.0,2340762600.0,201425400.0,2139330600.0,25819200.0,-41223600.0,2113511400.0,-46431000.0,2159942400.0,2159942400.0,2516164200.0,8.606866041216838,184852800.0,2516164200.0,38.52989037921621,8.606866041216838,7.388363165466067,2331311400.0,8720339.6808,247.6901679364224,245.32652147831686,35153844.0,61.442566565408896,60.85623523845643,112.447660973459,Bridgestone,,67042800.0
BRDCY,2024-12-31,annual,2024,2024,USD,28795624000.0,28795624000.0,17576604500.0,17576604500.0,11219019500.0,8337446000.0,8138858000.0,,198588000.0,2881573500.0,142233000.0,146328000.0,323713000.0,177385000.0,-4095000.0,2739340500.0,839956000.0,1899384500.0,93704000.0,93918500.0,1805680500.0,-46748000.0,1852428500.0,1852428500.0,2881573500.0,10.006984047298298,619196500.0,2881573500.0,38.960848703955854,10.006984047298298,6.4330208645591425,2262377000.0,17803681.012,104.04749999460392,106.68493210588197,17822094.478499997,103.93999999465326,106.5747071586539,51.238617417664166,Bridgestone,,-214500.0
BRDCY,2023-12-31,annual,2023,2023,USD,30627980000.0,30627980000.0,18894718800.0,18894718800.0,11733268300.0,8312665800.000001,8388522200.000001,,-75856400.0,3420602500.0,267109100.00000003,305023100.0,556256600.0,251233500.0,-37914000.0,3153493400.0,789356700.0,2364136700.0,54812000.0,23749500.0,2309324700.0,-42940800.0,2352265500.0,2352265500.0,3420602500.0,11.168227548796885,1249387000.0,3420602500.0,38.30896193611201,11.168227548796885,7.6801196161157215,2171215500.0,19444089.82,120.9758606227216,121.58639061460579,19444089.82,120.9758606227216,121.58639061460579,47.485503746762674,Bridgestone,,31062500.0
BRDCY,2022-12-31,annual,2022,2022,USD,31236532000.0,31236532000.0,19127839600.0,19127839600.0,12108692400.0,8754820000.0,8804774800.0,,-49954800.0,3353872400.0,135591600.0,179474000.0,318424800.0,138950800.0,-43882400.0,3218280800.0,855098800.0,2363182000.0,122656400.0,161728000.0,2240525600.0,-41792400.0,2282318000.0,2282318000.0,3353872400.0,10.737019077533958,1209851600.0,3353872400.0,38.76452225874498,10.737019077533958,7.306566554827533,2144020800.0,21122611.8736,108.0509367713443,111.87925120915621,21151590.4,107.90290265832682,111.72597215195695,42.824230517181434,Bridgestone,,-39071600.0
BRDCY,2021-12-31,annual,2021,2021,USD,29539118700.0,29539118700.0,17559469200.0,17559469200.0,11979640400.0,8550769500.0,8450442000.0,,100327500.0,3428870900.0,-7234500.0,49249200.0,147592900.0,98343700.0,-56483700.0,3436105400.0,575429400.0,2860676000.0,-665992600.0,-1450121400.0,3526668600.0,-59068100.0,3585736700.0,3585736700.0,3428870900.0,11.607898444173962,1149794100.0,3428870900.0,40.55520281991351,11.607898444173962,12.138942723433384,2279076800.0,25632588.8,139.88976017904207,111.60308552213033,25671391.200000003,139.6783163041043,111.43439705753072,36.25360697082614,Bridgestone,,784128800.0
BRDCY,2020-12-31,annual,2020,2020,USD,25335105600.0,25335105600.0,15806231600.0,15806231600.0,9528874000.0,8941486800.0,7965607000.0,,975879800.0,587387200.0,329714400.0,145239400.0,222949200.0,77709800.0,184475000.0,257672800.0,410131400.0,-152458600.0,100138200.0,133141600.0,-252596800.0,-33567400.0,-219029400.0,-219029400.0,587387200.0,2.3184714888261606,-1926680400.0,587387200.0,37.61134510526769,2.3184714888261606,-0.8645292561954034,2514067600.0,26474460.8,-8.273233651655712,-5.758704630539633,26474460.8,-8.273233651655712,-5.758704630539633,32.49643520596272,Bridgestone,,-33003400.0
BRDCY,2019-12-31,annual,2019,2019,USD,32266635600.0,32266635600.0,20079496800.0,20079496800.0,12187138800.0,8973247600.0,9184912000.0,968603600.0,-1180268000.0,3213891200.0,127199200.0,97299200.0,260580800.0,163281600.0,29900000.0,3086692000.0,820814800.0,2265877200.0,113702800.0,113702800.0,2152174400.0,-56846800.0,2209021200.0,2209021200.0,3213891200.0,9.960416201557749,732200400.0,3213891200.0,37.7700946298845,9.960416201557749,6.846146674182542,2481690800.0,26590097.599999998,83.07683684470568,85.21507645763587,26634036.8,82.93978177577648,85.0744938521674,40.716164953076365,Bridgestone,,
BRDCY,2018-12-31,annual,2018,2018,USD,33216010100.0,33216010100.0,20645561300.0,20645561300.0,12570439700.0,8905542100.0,2727051600.0,942314100.0,5236176400.0,3664897600.0,-227791200.0,76048700.0,116571000.0,40522300.0,-303839900.0,3892688800.0,1164954700.0,2727734100.0,147574700.0,147574700.0,2580159400.0,-73782800.0,2653942200.0,2653942200.0,3664897600.0,11.033527473548064,1799079100.0,3664897600.0,37.84454774115088,11.033527473548064,7.989948798817351,1865818500.0,27364064.0,96.98640523571352,99.6830770458657,27411094.811100002,96.82000001420221,99.51204498754338,39.98417047994041,Bridgestone,,
BRDCY,2017-12-31,annual,2017,2017,USD,32426500300.0,32426500300.0,20137042100.0,20137042100.0,12289458200.0,8559895400.0,2579522600.0,888139900.0,5092232900.0,3729562800.0,-12193000.0,51335200.0,107725600.0,56390400.0,-63528200.0,3741755800.0,1094753400.0,2647002400.0,162700900.0,162700900.0,2484301500.0,-81346000.0,2565647500.0,2565647500.0,3729562800.0,11.501589025936296,1905623500.0,3729562800.0,37.899428203172455,11.501589025936296,7.912193657235345,1823939300.0,27317873.6,93.91827261401488,96.89635579835175,27366176.8993,93.75250000907604,96.72532665926411,35.398824013886646,Bridgestone,,
BRDCY,2016-12-31,annual,2016,2016,USD,30700556400.0,30700556400.0,18146770000.0,18146770000.0,12553777200.0,8417889600.0,2472316000.0,877707600.0,5067866000.0,4135887600.0,257278000.0,47278800.0,93554800.0,46276000.0,209999200.0,3878609600.0,1344580000.0,2534029600.0,181930000.0,181930000.0,2352099600.0,-90960400.0,2443060000.0,2443060000.0,4135887600.0,13.47170242165383,2387335600.0,4135887600.0,40.891071277131644,13.47170242165383,7.957705939166628,1748552000.0,28823232.0,84.76009907563454,87.91621980491293,28867541.058399998,84.63000000788456,87.78127637797668,34.9145855676421,Bridgestone,,
